,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
0,Maruti,Alto 800 VXI,2016,9666,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,323999
1,Maruti,Wagon R 1.0 LXI CNG,2017,66693,2nd Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,482399
2,Maruti,Wagon R 1.0 LXI,2014,40532,2nd Owner,MANUAL,MH-02,MH,Petrol,20.5,35,5,Pune,367599
3,Honda,City VX MT PETROL,2015,60086,1st Owner,MANUAL,MH-14,MH,Petrol,17.8,40,5,Pune,701799
4,Maruti,Ciaz VXI PLUS,2016,29544,1st Owner,MANUAL,MH-12,MH,Petrol,20.7,43,5,Pune,682099
5,Mahindra,MARAZZO M8 7 STR,2019,49956,1st Owner,MANUAL,MH-01,MH,Diesel,17.3,45,7,Pune,1153499
6,Tata,NEXON XZA + 1.2 PETROL A/T,2018,49765,1st Owner,AUTOMATIC,MH-17,MH,Petrol,17.0,44,5,Pune,801899
7,Tata,NEXON XZA+ 1.5,2018,80038,1st Owner,AUTOMATIC,MH-12,MH,Diesel,17.9,44,5,Pune,803299
8,Honda,City VX CVT PETROL,2018,46497,1st Owner,AUTOMATIC,MH-14,MH,Petrol,18.0,40,5,Pune,957799
9,Maruti,Dzire VXI,2018,10340,1st Owner,MANUAL,MH-12,MH,Petrol,21.2,37,5,Pune,699499
10,Maruti,Wagon R 1.0 LXI CNG,2015,73610,1st Owner,MANUAL,MH-04,MH,Petrol + CNG,26.6,35,5,Pune,353199
11,Hyundai,VENUE S MT 1.2 KAPPA,2020,16656,2nd Owner,MANUAL,MH-08,MH,Petrol,17.5,45,5,Pune,736099
12,Hyundai,Elite i20 SPORTZ 1.4,2018,48051,1st Owner,MANUAL,MH-03,MH,Diesel,22.5,40,5,Pune,693399
13,Skoda,Rapid 1.5 TDI AT AMBITION,2016,81682,1st Owner,AUTOMATIC,MH-12,MH,Diesel,21.7,55,5,Pune,633699
14,Renault,TRIBER 1.0 RXZ,2020,28912,1st Owner,MANUAL,MH-12,MH,Petrol,20.0,40,7,Pune,675499
15,Hyundai,i20 ASTA 1.4 CRDI,2012,110457,2nd Owner,MANUAL,MH-04,MH,Diesel,21.9,45,5,Pune,360449
16,Ford,Ecosport 1.5TITANIUM TDCI,2021,46822,1st Owner,MANUAL,MH-11,MH,Diesel,21.7,52,5,Pune,948399
17,Maruti,Baleno DELTA 1.2 K12,2017,43997,1st Owner,MANUAL,MH-12,MH,Petrol,21.4,37,5,Pune,566999
18,Maruti,Ciaz DELTA 1.4 VVT,2017,31340,1st Owner,MANUAL,MH-01,MH,Petrol,20.7,43,5,Pune,570499
