Company,Car_name,Model_year,History,Kilometers,Registered in,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
Maruti,Alto 800 VXI,2016,Non-Accidental,9666,16-Dec,1st Owner,MANUAL,MH-12,MH,Petrol,24.7,35,5,Pune,323999
Hyundai,NEW SANTRO 1.1 SPORTZ MT CNG,2018,Non-Accidental,39397,18-Dec,1st Owner,NA,MH-04,MH,Petrol + CNG,30,60,5,Pune,573499
Maruti,Wagon R 1.0 LXI CNG,2017,Non-Accidental,66693,17-Nov,2nd Owner,MANUAL,MH-12,MH,Petrol + CNG,26.6,35,5,Pune,482399
Maruti,Wagon R 1.0 LXI,2014,Non-Accidental,40532,14-Feb,2nd Owner,MANUAL,MH-02,MH,Petrol,20.5,35,5,Pune,367599
Honda,City VX MT PETROL,2015,Non-Accidental,60086,15-Jun,1st Owner,MANUAL,MH-14,MH,Petrol,17.8,40,5,Pune,701799
Kia,SONET GTX PLUS DCT 1.0,2020,Non-Accidental,27575,20-Nov,1st Owner,NA,MH-12,MH,Petrol,18.3,45,5,Pune,1293899
Maruti,Ciaz VXI PLUS,2016,Non-Accidental,29544,16-Dec,1st Owner,MANUAL,MH-12,MH,Petrol,20.7,43,5,Pune,682099
Mahindra,MARAZZO M8 7 STR,2019,Non-Accidental,49956,19-Feb,1st Owner,MANUAL,MH-01,MH,Diesel,17.3,45,7,Pune,1153499
Tata,NEXON XZA + 1.2 PETROL A/T,2018,Non-Accidental,49765,18-Dec,1st Owner,AUTOMATIC,MH-17,MH,Petrol,17,44,5,Pune,801899
Tata,NEXON XZA+ 1.5,2018,Non-Accidental,80038,18-Nov,1st Owner,AUTOMATIC,MH-12,MH,Diesel,17.9,44,5,Pune,803299
Jeep,Compass 2.0 LIMITED,2017,Non-Accidental,70961,N/A,2nd Owner,MANUAL,MH-12,MH,Diesel,17.1,60,5,Pune,1031299
Honda,City VX CVT PETROL,2018,Non-Accidental,46497,18-Nov,1st Owner,AUTOMATIC,MH-14,MH,Petrol,18,40,5,Pune,957799
Maruti,Dzire VXI,2018,Non-Accidental,10340,18-Oct,1st Owner,MANUAL,MH-12,MH,Petrol,21.2,37,5,Pune,699499
Maruti,Wagon R 1.0 LXI CNG,2015,Non-Accidental,73610,15-Apr,1st Owner,MANUAL,MH-04,MH,Petrol + CNG,26.6,35,5,Pune,353199
Hyundai,VENUE S MT 1.2 KAPPA,2020,Non-Accidental,16656,20-Jan,2nd Owner,MANUAL,MH-08,MH,Petrol,17.5,45,5,Pune,736099
Hyundai,Elite i20 SPORTZ 1.4,2018,Non-Accidental,48051,18-Feb,1st Owner,MANUAL,MH-03,MH,Diesel,22.5,40,5,Pune,693399
Skoda,Rapid 1.5 TDI AT AMBITION,2016,Non-Accidental,81682,16-Jun,1st Owner,AUTOMATIC,MH-12,MH,Diesel,21.7,55,5,Pune,633699
Renault,TRIBER 1.0 RXZ,2020,Non-Accidental,28912,20-Jun,1st Owner,MANUAL,MH-12,MH,Petrol,20,40,7,Pune,675499
