,Company,Model_name,Model_year,Kilometers,Owner,Transmission,Registration,State,Fuel_Type,Mileage,Fuel_capacity,Seating_capacity,City,Price
0,8,12,2016,9666,0,1,166,6,1,24.7,35,5,11,323999
1,8,552,2017,66693,1,1,166,6,2,26.6,35,5,11,482399
2,8,551,2014,40532,1,1,158,6,1,20.5,35,5,11,367599
3,3,111,2015,60086,0,1,167,6,1,17.8,40,5,11,701799
4,8,93,2016,29544,0,1,166,6,1,20.7,43,5,11,682099
5,7,340,2019,49956,0,1,157,6,0,17.3,45,7,11,1153499
6,14,362,2018,49765,0,0,170,6,1,17.0,44,5,11,801899
7,14,364,2018,80038,0,0,166,6,0,17.9,44,5,11,803299
8,3,110,2018,46497,0,0,167,6,1,18.0,40,5,11,957799
9,8,172,2018,10340,0,1,166,6,1,21.2,37,5,11,699499
10,8,552,2015,73610,0,1,160,6,2,26.6,35,5,11,353199
11,4,499,2020,16656,1,1,163,6,1,17.5,45,5,11,736099
12,4,221,2018,48051,0,1,159,6,0,22.5,40,5,11,693399
13,13,389,2016,81682,0,0,166,6,0,21.7,55,5,11,633699
14,12,474,2020,28912,0,1,166,6,1,20.0,40,7,11,675499
15,4,608,2012,110457,1,1,160,6,0,21.9,45,5,11,360449
16,2,195,2021,46822,0,1,165,6,0,21.7,52,5,11,948399
17,8,46,2017,43997,0,1,166,6,1,21.4,37,5,11,566999
18,8,87,2017,31340,0,1,157,6,1,20.7,43,5,11,570499
19,12,166,2018,34176,0,0,166,6,0,19.6,50,5,11,983799
20,8,172,2018,30850,0,1,162,6,1,21.2,37,5,11,629899
21,8,77,2017,53491,0,0,161,6,1,23.1,35,5,11,439499
22,8,542,2020,27742,0,1,166,6,1,17.0,48,5,11,852599
23,4,220,2014,42479,1,1,159,6,1,18.6,45,5,11,472899
24,4,203,2019,37340,0,1,165,6,1,19.8,40,5,11,688199
25,4,526,2013,85263,1,1,159,6,1,17.0,43,5,11,436399
26,2,194,2014,85905,0,1,166,6,1,15.8,52,5,11,476899
27,16,508,2014,49479,1,1,173,6,1,14.4,55,5,11,486599
28,8,97,2016,32746,1,1,166,6,1,20.7,43,5,11,618599
29,8,72,2020,50486,0,1,166,6,2,30.5,60,5,11,645199
30,8,460,2019,8867,0,0,167,6,1,22.0,37,5,11,735699
31,8,457,2018,67283,0,0,160,6,0,28.4,37,5,11,729699
32,8,172,2018,52965,1,1,177,6,1,21.2,37,5,11,562299
33,8,17,2011,69584,1,1,161,6,1,20.2,35,5,11,193299
